tk_pips,ls_pips,gain_rate
0.02,0.9500000000000001,0.005271925452222703
0.025,0.0,0.0005662103818761049
0.025,0.05,6.801197702547518e-19
0.025,0.1,4.630864719474965e-18
0.025,0.15000000000000002,5.3752627973922325e-15
0.025,0.2,7.576749590039397e-12
0.025,0.25,4.744795076060836e-10
0.025,0.30000000000000004,2.385613427172459e-08
0.025,0.35000000000000003,4.231425966114941e-07
0.025,0.4,1.8181532007752313e-06
0.025,0.45,1.536127627922262e-05
0.025,0.5,0.00019690366331748499
0.025,0.55,0.0009551892905558978
0.025,0.6000000000000001,0.002231447975130378
0.025,0.65,0.004841275585070388
0.025,0.7000000000000001,0.007093395811568867
0.025,0.75,0.006823333436437011
0.025,0.8,0.005501184702353794
0.025,0.8500000000000001,0.007604566112640073
0.025,0.9,0.007460627572432578
0.025,0.9500000000000001,0.01063931288230944
0.03,0.0,0.0007935787660037722
0.03,0.05,9.883968904762478e-18
0.03,0.1,2.915109607384121e-17
0.03,0.15000000000000002,5.752666512390836e-14
0.03,0.2,2.634889551110151e-11
0.03,0.25,9.404255160798233e-10
0.03,0.30000000000000004,4.543200431486024e-08
0.03,0.35000000000000003,6.64093500830678e-07
0.03,0.4,1.9912788129669827e-06
0.03,0.45,1.0107926356452162e-05
0.03,0.5,9.225971778802955e-05
0.03,0.55,0.0005972308259494575
0.03,0.6000000000000001,0.0008758027159263827
0.03,0.65,0.0012105249899820561
0.03,0.7000000000000001,0.0028291161012124564
0.03,0.75,0.003900505781884129
0.03,0.8,0.0029231946794556723
0.03,0.8500000000000001,0.0023524856797244244
0.03,0.9,0.0023115655731270023
0.03,0.9500000000000001,0.005196179588670807
0.035,0.0,0.0008775801283968923
0.035,0.05,1.6752033960567237e-16
0.035,0.1,4.088240569833319e-16
0.035,0.15000000000000002,3.996780628147928e-13
0.035,0.2,3.926003297714898e-11
0.035,0.25,1.8549266135573807e-09
0.035,0.30000000000000004,9.172246344557553e-08
0.035,0.35000000000000003,1.0733306853132804e-06
0.035,0.4,3.88038948530786e-06
0.035,0.45,2.0691806543980954e-05
0.035,0.5,0.00013266214525436734
0.035,0.55,0.0011098250700202065
0.035,0.6000000000000001,0.001199634030204782
0.035,0.65,0.0017279226681047603
0.035,0.7000000000000001,0.0036390802534557285
0.035,0.75,0.0030509698610319837
0.035,0.8,0.0028669780977157075
0.035,0.8500000000000001,0.0027842492562666398
0.035,0.9,0.003411629323277175
0.035,0.9500000000000001,0.008273758679776458
0.04,0.0,0.0011803023684596689
0.04,0.05,2.5752693326833745e-15
0.04,0.1,7.75686780480909e-15
0.04,0.15000000000000002,3.388527549699328e-12
0.04,0.2,2.4162237035788786e-10
0.04,0.25,1.9960691056177935e-08
0.04,0.30000000000000004,3.655013707304941e-07
0.04,0.35000000000000003,3.9821322950995834e-06
0.04,0.4,9.613867618675959e-06
0.04,0.45,6.847185046545807e-05
0.04,0.5,0.00016443461199677027
0.04,0.55,0.00227482820354523
0.04,0.6000000000000001,0.002997186405418777
0.04,0.65,0.003216446300939799
0.04,0.7000000000000001,0.0070665764794013925
0.04,0.75,0.006111294302588244
0.04,0.8,0.0042027522495504625
0.04,0.8500000000000001,0.005134040070041432
0.04,0.9,0.006924768777019099
0.04,0.9500000000000001,0.016892626894265225
0.045,0.0,0.0016210114619275458
0.045,0.05,3.356053766280386e-14
0.045,0.1,6.654251405564337e-14
0.045,0.15000000000000002,1.6605334184106067e-11
0.045,0.2,7.516051528653428e-10
0.045,0.25,9.213772703960569e-08
0.045,0.30000000000000004,1.1074533866440871e-06
0.045,0.35000000000000003,1.1682934845921409e-05
0.045,0.4,2.2370645519788343e-05
0.045,0.45,0.00013329925499185277
0.045,0.5,0.00031148864882974244
0.045,0.55,0.002744907772049859
0.045,0.6000000000000001,0.003546804791884802
0.045,0.65,0.0030243710925405075
0.045,0.7000000000000001,0.009250573059230991
0.045,0.75,0.007740135706409738
0.045,0.8,0.005534693384917302
0.045,0.8500000000000001,0.005768072175817785
0.045,0.9,0.009633804590961506
0.045,0.9500000000000001,0.020587227347893904
0.05,0.0,0.0018892710215697107
0.05,0.05,2.447377437575502e-13
0.05,0.1,3.5060170718882724e-13
0.05,0.15000000000000002,5.352688115078068e-11
0.05,0.2,1.7597812816589465e-09
0.05,0.25,1.6403924068636102e-07
0.05,0.30000000000000004,8.19007747602604e-07
0.05,0.35000000000000003,1.5152800064023963e-05
0.05,0.4,3.8133388691940005e-05
0.05,0.45,0.0001282539169961184
0.05,0.5,0.0002900348876903909
0.05,0.55,0.0017751681221797801
0.05,0.6000000000000001,0.002301081262854748
0.05,0.65,0.0023228903390416313
0.05,0.7000000000000001,0.005697769690313986
0.05,0.75,0.004378502309157506
0.05,0.8,0.0026542944192456475
0.05,0.8500000000000001,0.0034361658095182356
0.05,0.9,0.0048329514286555375
0.05,0.9500000000000001,0.008223593228070104
0.055,0.0,0.0023163638115765097
0.055,0.05,1.6661457220377837e-12
0.055,0.1,2.484406159640412e-12
0.055,0.15000000000000002,2.8804208039336096e-10
