date,time,open,high,low,close,volume,moving_60_ave,deviation_rate,rise_rate
2022.04.06,01:00,123.585,123.684,123.569,123.606,5222,122.8161,1.0064315671968087,1
2022.04.06,02:00,123.606,123.715,123.537,123.658,4050,122.83618333333334,1.0066903468047077,1
2022.04.06,03:00,123.656,123.89,123.575,123.831,9572,122.85341666666666,1.0079573149844565,1
2022.04.06,04:00,123.832,123.995,123.816,123.936,8145,122.86996666666667,1.0086761098928705,1
2022.04.06,05:00,123.937,124.051,123.64,123.889,8218,122.88751666666667,1.0081495937138176,1
2022.04.06,06:00,123.888,123.909,123.723,123.752,6810,122.90675,1.0068771650051767,1
2022.04.06,07:00,123.754,123.925,123.74,123.882,4942,122.92861666666666,1.00775558498245,1
2022.04.06,08:00,123.882,123.962,123.832,123.953,5286,122.95161666666668,1.0081445316497804,1
2022.04.06,09:00,123.952,124.003,123.881,123.932,9114,122.9735,1.007794362199986,1
2022.04.06,10:00,123.932,124.026,123.832,123.883,10944,122.99591666666666,1.0072122990532884,1
2022.04.06,11:00,123.883,123.967,123.73,123.788,9504,123.01649999999998,1.006271516422594,1
2022.04.06,12:00,123.788,123.866,123.613,123.839,7659,123.03818333333332,1.0065086840927837,1
2022.04.06,13:00,123.839,123.997,123.828,123.959,6349,123.05986666666665,1.007306470888424,1
2022.04.06,14:00,123.959,123.981,123.858,123.869,6309,123.08043333333332,1.0064069214359284,1
2022.04.06,15:00,123.869,123.882,123.714,123.815,8502,123.10394999999997,1.0057760128736732,1
2022.04.06,16:00,123.815,123.946,123.799,123.861,8420,123.12541666666667,1.0059742606624005,1
2022.04.06,17:00,123.859,123.917,123.71,123.762,9652,123.14389999999997,1.0050193310427884,1
2022.04.06,18:00,123.765,123.825,123.683,123.721,7341,123.1604,1.0045517877499586,1
2022.04.06,19:00,123.72,123.799,123.705,123.745,4182,123.17959999999998,1.0045900457543298,1
2022.04.06,20:00,123.746,123.829,123.734,123.793,3745,123.19843333333333,1.0048260895092553,1
2022.04.06,21:00,123.794,123.93,123.46,123.771,15970,123.21723333333333,1.004494230650096,1
2022.04.06,22:00,123.77,123.825,123.751,123.788,5337,123.23621666666665,1.0044774446040146,1
2022.04.06,23:00,123.789,123.805,123.742,123.742,2231,123.25483333333332,1.0039525157228453,1
2022.04.07,00:00,123.734,123.801,123.705,123.776,515,123.27494999999999,1.004064491610015,1
2022.04.07,01:00,123.776,123.934,123.769,123.862,3592,123.29251666666666,1.0046189610588694,1
2022.04.07,02:00,123.863,123.889,123.693,123.723,3067,123.30818333333333,1.0033640643747488,1
2022.04.07,03:00,123.723,123.73,123.469,123.6,10095,123.32428333333333,1.0022357045929182,1
2022.04.07,04:00,123.6,123.734,123.584,123.622,6890,123.33876666666669,1.0022963853214033,1
2022.04.07,05:00,123.623,123.743,123.622,123.675,4366,123.3544,1.0025990155195112,1
2022.04.07,06:00,123.677,123.747,123.666,123.704,3541,123.37078333333334,1.0027009366210016,1
2022.04.07,07:00,123.704,123.709,123.612,123.684,3688,123.38643333333334,1.0024116643834153,1
2022.04.07,08:00,123.683,123.735,123.634,123.652,4397,123.40084999999999,1.0020352371965024,1
2022.04.07,09:00,123.653,123.844,123.59,123.843,6852,123.4181,1.0034427689293548,1
2022.04.07,10:00,123.84,123.84,123.737,123.764,7940,123.43476666666668,1.0026672658135485,1
2022.04.07,11:00,123.764,123.781,123.616,123.738,7400,123.45073333333333,1.0023269741613523,1
2022.04.07,12:00,123.739,123.772,123.664,123.719,7074,123.46640000000001,1.0020459007470857,1
2022.04.07,13:00,123.719,123.862,123.688,123.814,5370,123.48433333333334,1.0026697043889508,1
2022.04.07,14:00,123.815,123.954,123.807,123.941,10413,123.50338333333335,1.00354335771908,1
2022.04.07,15:00,123.941,123.997,123.917,123.983,7709,123.52704999999999,1.0036910943797333,1
2022.04.07,16:00,123.985,124.001,123.821,123.942,9482,123.55018333333334,1.0031713159470557,1
2022.04.07,17:00,123.94,123.998,123.877,123.916,10033,123.5724,1.0027805561759746,1
2022.04.07,18:00,123.916,123.961,123.753,123.803,7477,123.59380000000002,1.0016926415402714,1
2022.04.07,19:00,123.803,123.944,123.799,123.917,4443,123.61663333333333,1.0024298240339287,1
2022.04.07,20:00,123.916,123.966,123.866,123.961,3717,123.64093333333335,1.0025886788302039,1
2022.04.07,21:00,123.961,124.003,123.939,123.959,3436,123.6639,1.0023863067556498,1
2022.04.07,22:00,123.958,124.0,123.945,123.949,3700,123.68130000000001,1.002164433911998,1
2022.04.07,23:00,123.947,123.995,123.899,123.899,2384,123.69923333333332,1.0016149385997273,1
2022.04.08,00:00,123.899,123.973,123.846,123.952,235,123.71806666666666,1.0018908583009434,1
2022.04.08,01:00,123.953,124.228,123.948,124.128,4687,123.73866666666667,1.0031464161027541,1
2022.04.08,02:00,124.127,124.18,124.078,124.096,3700,123.75818333333333,1.002729651143608,1
2022.04.08,03:00,124.095,124.154,123.722,123.799,10505,123.77428333333333,1.000199691454485,1
2022.04.08,04:00,123.798,123.835,123.668,123.816,8155,123.79051666666668,1.0002058585263194,1
2022.04.08,05:00,123.815,123.944,123.791,123.924,3902,123.80085000000001,1.0009947427663057,1
2022.04.08,06:00,123.923,123.986,123.896,123.946,3948,123.80846666666667,1.0011108556388442,1
2022.04.08,07:00,123.946,123.991,123.908,123.977,2992,123.81498333333334,1.0013085384523333,1
2022.04.08,08:00,123.977,124.032,123.924,123.954,3650,123.82013333333335,1.00108113812401,1
2022.04.08,09:00,123.954,124.097,123.953,124.069,6677,123.82790000000001,1.0019470571656306,1
2022.04.08,10:00,124.069,124.148,124.008,124.045,8104,123.83518333333335,1.0016943219287033,1
2022.04.08,11:00,124.044,124.119,124.032,124.101,7061,123.84353333333334,1.0020789673851898,1
2022.04.08,12:00,124.101,124.12,124.039,124.084,5828,123.85186666666667,1.0018742820724544,1
2022.04.08,13:00,124.085,124.109,124.052,124.095,4730,123.86001666666667,1.0018971685912632,1
2022.04.08,14:00,124.095,124.194,124.094,124.174,5579,123.86861666666665,1.002465380994406,1
2022.04.08,15:00,124.173,124.404,124.156,124.397,8433,123.87805,1.004189200588805,1
2022.04.08,16:00,124.397,124.676,124.365,124.58,11643,123.88878333333334,1.0055793321079511,1
2022.04.08,17:00,124.581,124.621,124.35,124.398,10935,123.89726666666667,1.004041520420951,1
2022.04.08,18:00,124.399,124.41,124.268,124.31,6842,123.90656666666668,1.0032559479629408,1
2022.04.08,19:00,124.31,124.393,124.275,124.389,4062,123.91501666666667,1.0038250677446814,1
2022.04.08,20:00,124.389,124.432,124.354,124.416,3993,123.92273333333335,1.0039804372724723,1
2022.04.08,21:00,124.415,124.417,124.343,124.368,3248,123.93000000000002,1.0035342532074556,1
2022.04.08,22:00,124.367,124.399,124.328,124.349,3148,123.93776666666669,1.0033180631246916,1
2022.04.08,23:00,124.348,124.356,124.274,124.287,1958,123.94608333333335,1.0027505239173216,1
2022.04.11,00:00,124.026,124.241,124.016,124.212,647,123.95230000000002,1.002095160799759,1
2022.04.11,01:00,124.213,124.372,124.182,124.344,3807,123.95871666666669,1.0031081584554424,1
2022.04.11,02:00,124.343,124.429,124.342,124.4,3664,123.96756666666667,1.0034882779823864,1
